DATES,FOPR,FWIR,FGIR,FWPR
2015-01-01 01:00:00,19999.999999999996,0.0,100000.0,-0.0
2015-02-01 01:00:00,19999.999999999916,0.0,100000.0,-0.0
2015-03-01 00:00:00,19999.999999999724,0.0,100000.0,-0.0
2015-04-01 00:00:00,19999.999999990792,0.0,100000.0,-0.0
2015-05-01 00:00:00,19999.99999999999,0.0,100000.0,-0.0
2015-06-01 00:00:00,19999.999999998206,0.0,100000.0,-0.0
2015-07-01 00:00:00,19999.99999999999,0.0,100000.0,-0.0
2015-08-01 00:00:00,19999.999999297717,0.0,100000.0,-0.0
2015-09-01 00:00:00,19999.999999999538,0.0,100000.0,-0.0
2015-10-01 00:00:00,19999.999999997708,0.0,100000.0,-0.0
2015-11-01 01:00:00,19999.999999999945,0.0,100000.0,-0.0
2015-12-01 01:00:00,19999.999999997704,0.0,100000.0,-0.0
2016-01-01 01:00:00,19999.999999999993,0.0,100000.0,-0.0
2016-02-01 01:00:00,19999.99999996504,0.0,100000.0,-0.0
2016-02-29 00:00:00,19999.999999999978,0.0,100000.0,-0.0
2016-03-31 00:00:00,19999.99999994513,0.0,100000.0,-0.0
2016-04-30 00:00:00,19999.999999999687,0.0,100000.0,-0.0
2016-05-31 00:00:00,19999.99997899547,0.0,100000.0,-0.0
2016-06-30 00:00:00,19999.999974769806,0.0,100000.0,-0.0
2016-07-31 00:00:00,19999.999940102156,0.0,100000.0,-0.0
2016-08-31 00:00:00,19999.99836742752,0.0,100000.0,-0.0
2016-09-30 00:00:00,19999.989428579214,0.0,100000.0,-0.0
2016-10-31 01:00:00,19999.999904218814,0.0,100000.0,-0.0
2016-11-30 01:00:00,19999.999171875417,0.0,100000.0,-0.0
2016-12-31 01:00:00,19999.54319960185,0.0,100000.0,-0.0
2017-01-31 01:00:00,19999.97418999639,0.0,100000.0,-0.0
2017-02-28 00:00:00,19999.99999320211,0.0,100000.0,-0.0
2017-03-31 00:00:00,19999.99999814349,0.0,100000.0,-0.0
2017-04-30 00:00:00,19999.981320434195,0.0,100000.0,-0.0
2017-05-31 00:00:00,19999.993826881953,0.0,100000.0,-0.0
2017-06-30 00:00:00,19999.98925617416,0.0,100000.0,-0.0
2017-07-31 00:00:00,19999.9999839514,0.0,100000.0,-0.0
2017-08-31 00:00:00,19491.16986994654,0.0,100000.0,-0.0
2017-09-30 00:00:00,18759.740726379212,0.0,100000.0,-0.0
2017-10-31 01:00:00,18133.63988916799,0.0,100000.0,-0.0
2017-11-30 01:00:00,17560.176324445896,0.0,100000.0,-0.0
2017-12-31 01:00:00,17044.65811345119,0.0,100000.0,-0.0
2018-01-31 01:00:00,16601.106323561336,0.0,100000.0,-0.0
2018-02-28 00:00:00,16151.602839680843,0.0,100000.0,-0.0
2018-03-31 00:00:00,15770.975354592285,0.0,100000.0,-0.0
2018-04-30 00:00:00,15406.147793564152,0.0,100000.0,-0.0
2018-05-31 00:00:00,15075.681240560216,0.0,100000.0,-0.0
2018-06-30 00:00:00,14755.462300224975,0.0,100000.0,-0.0
2018-07-31 00:00:00,14454.155508227235,0.0,100000.0,-0.0
2018-08-31 00:00:00,14178.115674816838,0.0,100000.0,-0.0
2018-09-30 00:00:00,13907.716979213914,0.0,100000.0,-0.0
2018-10-31 00:00:00,13658.230555137607,0.0,100000.0,-0.0
2018-11-30 01:00:00,13411.98439692347,0.0,100000.0,-0.0
2018-12-31 01:00:00,13169.7152834825,0.0,100000.0,-0.0
2019-01-31 01:00:00,12957.630273478997,0.0,100000.0,-0.0
2019-02-28 00:00:00,12733.10719327848,0.0,100000.0,-0.0
2019-03-31 00:00:00,12525.21917849889,0.0,100000.0,-0.0
2019-04-30 00:00:00,12326.711159990224,0.0,100000.0,-0.0
2019-05-31 00:00:00,12088.891046492146,0.0,100000.0,-0.0
2019-06-30 00:00:00,11875.840611530119,0.0,100000.0,-0.0
2019-07-31 00:00:00,11690.794801867874,0.0,100000.0,-0.0
